Регион,Страна,Значение
ЕС-27,Италия,5
ЕС-27,Польша,9
ЕС-27,Эстония,10
ЕС-27,Греция,12
ЕС-27,Мальта,14
ЕС-27,Дания,17
ЕС-27,Кипр,20
ЕС-27,Литва,22
ЕС-27,Португалия,27
ЕС-27,Румыния,32
ЕС-27,Ирландия,33
ЕС-27,Чехия,34
ЕС-27,Великобритания,34
ЕС-27,Финляндия,38
ЕС-27,Люксембург,45
ЕС-27,Швеция,45
ЕС-27,Словакия,55
ЕС-27,Латвия,57
ЕС-27,Франция,58
ЕС-27,Словения,61
ЕС-27,Венгрия,62
ЕС-27,Испания,67
ЕС-27,Болгария,69
ЕС-27,ЕС-27,69
ЕС-27,Нидерланды,70
ЕС-27,Бельгия,77
ЕС-27,Германия,92
СНГ,Азербайджан,9
СНГ,Грузия,26
СНГ,Таджикистан,28
СНГ,Россия,30
СНГ,Казахстан,36
СНГ,Армения,37
СНГ,Кыргызстан,42
СНГ,Узбекистан,45
СНГ,Молдова,78
СНГ,Беларусь,85
СНГ,Украина,85
СНГ,Туркмения,96
Южная Азия,Шри-Ланка,10
Южная Азия,Бангладеш,36
Южная Азия,Индия,36
Южная Азия,Непал,59
Южная Азия,Бутан,63
Южная Азия,Афганистан,73
Южная Азия,Пакистан,78
Южная Америка,Эквадор,4
Южная Америка,Венесуэла,7
Южная Америка,Парагвай,20
Южная Америка,Аргентина,21
Южная Америка,Бразилия,23
Южная Америка,Фолклендские Острова,29
Южная Америка,Чили,32
Южная Америка,Южная Георгия и Южные Сандвичевы острова,37
Южная Америка,Сент-Винсент и Гренадины,43
Южная Америка,Колумбия,50
Южная Америка,Перу,67
Южная Америка,Французская Гвиана,69
Южная Америка,Боливия,79
Южная Америка,Уругвай,80
Южная Америка,Гайана,96
Южная Америка,Суринам,98
Остальная Европа,Норвегия,14
Остальная Европа,Швейцария,15
Остальная Европа,Сербия,21
Остальная Европа,Фарерские острова,25
Остальная Европа,Македония,25
Остальная Европа,Албания,37
Остальная Европа,Хорватия,65
Остальная Европа,Босния и Герцеговина,67
Остальная Европа,Черногория,69
Остальная Европа,Косово,92
Остальная Европа,Исландия,98
Океания,Фиджи,12
Океания,Австралия,13
Океания,Самоа,43
Океания,Вануату,43
Океания,Новая Каледония,44
